Source,Target,Type,Confidence,Source_Tool
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:pneumonia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:decreased_red_blood_cells,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:decreased_hemoglobin,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:decreased_lymphocytes,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:increased_glucose,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:decreased_albumin,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:nausea,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:fatigue,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:anemia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:vomiting,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:constipation,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:rash,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:cough,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:chills,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:pruritus,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:blood_lactate_dehydrogenase_increased,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:decreased_appetite,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:headache,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:hypokalemia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:electrocardiogram_qt_prolonged,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:abdominal_pain,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:hypotension,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:dizziness,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:leukopenia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM_Semantic_Extraction
ae:dizziness,drug:belinostat,observed_in,1.0,LLM_Semantic_Extraction
ae:leukopenia,drug:belinostat,observed_in,1.0,LLM_Semantic_Extraction
ae:neutropenia,drug:belinostat,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:electrocardiogram_qt_prolonged,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:hepatic_failure,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:death,associated_with,1.0,LLM_Semantic_Extraction
ae:death,ae:multi-organ_failure,linked_to,1.0,LLM_Semantic_Extraction
ae:death,ae:cardiac_failure,linked_to,1.0,LLM_Semantic_Extraction
ae:death,ae:hepatic_failure,linked_to,1.0,LLM_Semantic_Extraction
ae:death,ae:lung_infection,linked_to,1.0,LLM_Semantic_Extraction
ae:death,ae:gastrointestinal_hemorrhage,linked_to,1.0,LLM_Semantic_Extraction
ae:death,ae:shock,linked_to,1.0,LLM_Semantic_Extraction
ae:pneumonia,drug:belinostat,associated_with,1.0,LLM_Semantic_Extraction
ae:pyrexia,drug:belinostat,associated_with,1.0,LLM_Semantic_Extraction
ae:infection,drug:belinostat,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:constipation,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM_Semantic_Extraction
ae:thrombocytopenia,drug:belinostat,observed_in,1.0,LLM_Semantic_Extraction
ae:neutropenia,drug:belinostat,observed_in,1.0,LLM_Semantic_Extraction
ae:anemia,drug:belinostat,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:flushing,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:neutrophil_count_decreased,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:febrile_neutropenia,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:platelet_count_decreased,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:upper_respiratory_tract_infection,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:white_blood_cell_count_decreased,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:pyrexia,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:disease_progression,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:infection,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:blood_creatinine_increased,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:dehydration,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:pulmonary_embolism,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:drug_hypersensitivity,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:hyponatremia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:gastric_hemorrhage,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:hematuria,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:rectal_hemorrhage,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:respiratory_failure,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:proctalgia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:skin_infection,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:small_intestinal_performation,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:syncope,observed_in,1.0,LLM_Semantic_Extraction
ae:fatigue,drug:belinostat,linked_to,1.0,LLM_Semantic_Extraction
ae:nausea,drug:belinostat,linked_to,1.0,LLM_Semantic_Extraction
ae:vomiting,drug:belinostat,linked_to,1.0,LLM_Semantic_Extraction
ae:diarrhea,drug:belinostat,linked_to,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:nausea,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:fatigue,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:vomiting,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,adverse_event:fatal_hepatotoxicity,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,clinical_study:liver_function_test_abnormalities,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac5,inhibits,1.0,Inferred_Mechanism
drug:belinostat,target:hdac10,inhibits,1.0,Inferred_Mechanism
drug:belinostat,target:hdac11,inhibits,1.0,Inferred_Mechanism
