n,r,m
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112519, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.12uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})"
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112520, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.04uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})"
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_22329, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 6h, is_exemplar: true, pubchem_id: 6918638})"
"(:Signature {signature_id: LINCSCP_112515, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.00159102980978787, logFC: 2.86584, gene_symbol: AARS, gene_id: 16})"
"(:Signature {signature_id: LINCSCP_112515, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.12344004958868, logFC: -0.719101, gene_symbol: ABCF1, gene_id: 23})"
"(:Signature {signature_id: LINCSCP_112515, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.0534232333302498, logFC: -1.09127, gene_symbol: ABL1, gene_id: 25})"
"(:Signature {signature_id: LINCSCP_112515, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.428902357816696, logFC: -0.422714, gene_symbol: ACAA1, gene_id: 30})"
"(:Signature {signature_id: LINCSCP_112515, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.281458884477615, logFC: -0.519469, gene_symbol: ACAT2, gene_id: 39})"
"(:Signature {signature_id: LINCSCP_112516, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 3.33uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",null,null
"(:Signature {signature_id: LINCSCP_112517, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 1.11uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",null,null
"(:Signature {signature_id: LINCSCP_112518, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.37uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",null,null
"(:Signature {signature_id: LINCSCP_112519, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.12uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",null,null
"(:Signature {signature_id: LINCSCP_112520, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.04uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})",null,null
"(:Signature {signature_id: LINCSCP_22329, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 6h, is_exemplar: true, pubchem_id: 6918638})",null,null
"(:DifferentialExpression {p_value: 0.00159102980978787, logFC: 2.86584, gene_symbol: AARS, gene_id: 16})",null,null
"(:DifferentialExpression {p_value: 0.12344004958868, logFC: -0.719101, gene_symbol: ABCF1, gene_id: 23})",null,null
"(:DifferentialExpression {p_value: 0.0534232333302498, logFC: -1.09127, gene_symbol: ABL1, gene_id: 25})",null,null
"(:DifferentialExpression {p_value: 0.428902357816696, logFC: -0.422714, gene_symbol: ACAA1, gene_id: 30})",null,null
"(:DifferentialExpression {p_value: 0.281458884477615, logFC: -0.519469, gene_symbol: ACAT2, gene_id: 39})",null,null
(:Drug {drug_name: Resminostat}),[:HAS_CLINICAL_DATA],"(:ClinicalData {phase: Phase I, ae_term: Thrombocytopenia / Anorexia, sponsor: Academic/Industry, median_duration_of_response: Median PFS 3.1 mo; OS 8.8 mo, study_id: PMID:29995287, source_link: https://pubmed.ncbi.nlm.nih.gov/29995287/, schedule: Days 1–5, 8–12, supportive_care: Supportive care given, ae_percentage: ~69%, route: Oral, sample_size: 27, disease_subtype: Advanced solid tumors, dose_level: 200 mg/day, study_design: Open-label, dose escalation, name: Resminostat Clinical Data, platelet: Thrombocytopenia, cycle_length: 21-day cycle, indication: Biliary tract / Pancreatic cancer, status: Completed, ae_count: 11})"
(:Drug {drug_name: Resminostat}),[:HAS_PRECLINICAL_DATA],(:PreClinicalData {name: Resminostat Pre-Clinical Data})
(:Drug {drug_name: Resminostat}),[:HAS_TRANSCRIPTOMIC_DATA],(:TranscriptomicData {name: Resminostat LINCS Transcriptomic Data})
(:Drug {drug_name: Dacinostat}),[:HAS_CLINICAL_DATA],"(:ClinicalData {phase: Phase I, ae_term: Nausea / Vomiting / Fatigue, sponsor: Novartis, study_id: PMC3795372, source_link: https://pmc.ncbi.nlm.nih.gov/articles/PMC3795372/, schedule: Days 1–3, route: Intravenous, sample_size: 39, dose_level: IV dose escalation, study_design: Dose escalation, name: Dacinostat Clinical Data, cycle_length: 21-day cycle, indication: Advanced solid tumors, status: Completed})"
(:Drug {drug_name: Dacinostat}),[:HAS_PRECLINICAL_DATA],(:PreClinicalData {name: Dacinostat Pre-Clinical Data})
(:Drug {drug_name: Dacinostat}),[:HAS_TRANSCRIPTOMIC_DATA],(:TranscriptomicData {name: Dacinostat LINCS Transcriptomic Data})
(:Drug {drug_name: Pracinostat}),[:HAS_CLINICAL_DATA],"(:ClinicalData {phase: Phase II, ae_term: Infections / Cytopenias, sponsor: MEI Pharma, median_duration_of_response: Median OS 19.1 mo; PFS 12.6 mo, grade34_aes: Grade ≥3 reported, source_link: https://pubmed.ncbi.nlm.nih.gov/30760466/, schedule: 3x weekly, supportive_care: Supportive care required, route: Oral, disease_subtype: Older unfit AML, dose_level: 60 mg, study_design: Interventional, anc: Neutropenia / Thrombocytopenia, name: Pracinostat Clinical Data, cycle_length: 28-day cycle, orr_percent: 42%, indication: Acute Myeloid Leukemia, status: Completed})"
(:Drug {drug_name: Pracinostat}),[:HAS_PRECLINICAL_DATA],(:PreClinicalData {name: Pracinostat Pre-Clinical Data})
(:Drug {drug_name: Pracinostat}),[:HAS_TRANSCRIPTOMIC_DATA],(:TranscriptomicData {name: Pracinostat LINCS Transcriptomic Data})
(:Drug {drug_name: Panobinostat}),[:HAS_CLINICAL_DATA],"(:ClinicalData {sponsor: Novartis, pr_rate_percent: 55, common_ae: Diarrhea, fatigue, grade34_aes: Hematologic, cardiac, study_id: PANORAMA-1, male_percent: 55, cmax: Affected by CYP3A inhibitors, age_range: Adult, sample_size: 768, infusion_duration: NA, clearance: Hepatic dependent, bilirubin_elevation: Observed, orr_percent: 60, dose_reductions_required: Common, phase: III, platelet_decrease: Thrombocytopenia frequent, median_age: 63, sae_reported: Yes, median_duration_of_response: Reported, protein_binding: Moderate, creatinine_clearance_impact: Minimal, cr_rate_percent: 5, median_time_to_response: Reported, auc: Increased with CYP3A inhibitors, source_link: https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/205353s000lbl.pdf, schedule: 3x weekly (combo), supportive_care: Hematologic support, alt_elevation: Observed, ast_elevation: Observed, death_count_study: Higher vs control arm, route: Oral, half_life: ≈30 hrs, disease_subtype: Relapsed/Refractory MM, dose_level: 20 mg, study_design: Randomized, multicenter, anc_decrease: Neutropenia frequent, name: Panobinostat Clinical Data, cycle_length: 21-day cycles, metabolism: CYP3A metabolism, indication: Multiple Myeloma, female_percent: 45, status: Completed})"
(:Drug {drug_name: Panobinostat}),[:HAS_PRECLINICAL_DATA],(:PreClinicalData {name: Panobinostat Pre-Clinical Data})
(:Drug {drug_name: Panobinostat}),[:HAS_TRANSCRIPTOMIC_DATA],(:TranscriptomicData {name: Panobinostat LINCS Transcriptomic Data})
(:Drug {drug_name: Vorinostat}),[:HAS_CLINICAL_DATA],"(:ClinicalData {sponsor: Merck, pr_rate_percent: 28, common_ae: Fatigue, nausea, grade34_aes: Hematologic, study_id: Phase II CTCL Trial, male_percent: 60, cmax: ≈1.2 µM, age_range: 18–85, sample_size: 74, infusion_duration: NA, clearance: Not fully reported, bilirubin_elevation: Rare, orr_percent: 30, dose_reductions_required: Yes (hematologic), phase: II, platelet_decrease: Thrombocytopenia common, median_age: 60, sae_reported: Yes, median_duration_of_response: Not consistently reported, protein_binding: ≈71%, creatinine_clearance_impact: Minimal impact, cr_rate_percent: 2, median_time_to_response: ≈8 weeks, auc: ≈6.0 µM·hr, source_link: https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/021991s009lbl.pdf, schedule: Once daily, supportive_care: Growth factors, transfusions, alt_elevation: Observed, ast_elevation: Observed, death_count_study: Low, route: Oral, half_life: ≈2 hrs, disease_subtype: Cutaneous T-cell Lymphoma, dose_level: 400 mg, study_design: Single-arm, multicenter, anc_decrease: Neutropenia observed, name: Vorinostat Clinical Data, cycle_length: 28 days, metabolism: Glucuronidation, hydrolysis, indication: CTCL, female_percent: 40, status: Completed})"
(:Drug {drug_name: Vorinostat}),[:HAS_PRECLINICAL_DATA],(:PreClinicalData {name: Vorinostat Pre-Clinical Data})
(:Drug {drug_name: Vorinostat}),[:HAS_TRANSCRIPTOMIC_DATA],(:TranscriptomicData {name: Vorinostat LINCS Transcriptomic Data})
(:TranscriptomicData {name: Resminostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_104045, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})"
(:TranscriptomicData {name: Resminostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_104046, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 3.33uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})"
(:TranscriptomicData {name: Resminostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_104047, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 1.11uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})"
(:TranscriptomicData {name: Resminostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_104048, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 0.37uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})"
(:TranscriptomicData {name: Resminostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_104049, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 0.12uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})"
"(:Signature {signature_id: LINCSCP_104045, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.485809, logFC: 0.34576, gene_symbol: AARS, gene_id: 16})"
"(:Signature {signature_id: LINCSCP_104045, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.67892, logFC: 0.157361, gene_symbol: ABCF1, gene_id: 23})"
"(:Signature {signature_id: LINCSCP_104045, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.00083, logFC: -2.61855, gene_symbol: ABL1, gene_id: 25})"
"(:Signature {signature_id: LINCSCP_104045, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.00218, logFC: 2.68185, gene_symbol: ACAA1, gene_id: 30})"
"(:Signature {signature_id: LINCSCP_104045, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.000803, logFC: -4.64135, gene_symbol: ACAT2, gene_id: 39})"
"(:Signature {signature_id: LINCSCP_104046, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 3.33uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",null,null
"(:Signature {signature_id: LINCSCP_104047, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 1.11uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",null,null
"(:Signature {signature_id: LINCSCP_104048, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 0.37uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",null,null
"(:Signature {signature_id: LINCSCP_104049, stitch_id: CID11609955, lincspertid: LSM-45663, cell_line: HELA, concentration: 0.12uM, tissue: large intestine, perturbagen_id: BRD-K28822270, time: 24h, pubchem_id: 11609955})",null,null
"(:DifferentialExpression {p_value: 0.485809, logFC: 0.34576, gene_symbol: AARS, gene_id: 16})",null,null
"(:DifferentialExpression {p_value: 0.67892, logFC: 0.157361, gene_symbol: ABCF1, gene_id: 23})",null,null
"(:DifferentialExpression {p_value: 0.00083, logFC: -2.61855, gene_symbol: ABL1, gene_id: 25})",null,null
"(:DifferentialExpression {p_value: 0.00218, logFC: 2.68185, gene_symbol: ACAA1, gene_id: 30})",null,null
"(:DifferentialExpression {p_value: 0.000803, logFC: -4.64135, gene_symbol: ACAT2, gene_id: 39})",null,null
(:TranscriptomicData {name: Dacinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_22566, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HEPG2, gene_targets: [HDAC1], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K56957086, time: 6h, pubchem_id: 6445533})"
(:TranscriptomicData {name: Dacinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_22567, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HEPG2, gene_targets: [HDAC1], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K56957086, time: 6h, pubchem_id: 6445533})"
(:TranscriptomicData {name: Dacinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_106256, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})"
(:TranscriptomicData {name: Dacinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_106257, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 3.33uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})"
(:TranscriptomicData {name: Dacinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_106258, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 1.11uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})"
"(:Signature {signature_id: LINCSCP_22566, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HEPG2, gene_targets: [HDAC1], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K56957086, time: 6h, pubchem_id: 6445533})",null,null
"(:Signature {signature_id: LINCSCP_22567, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HEPG2, gene_targets: [HDAC1], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K56957086, time: 6h, pubchem_id: 6445533})",null,null
"(:Signature {signature_id: LINCSCP_106256, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.080848, logFC: 0.878283, gene_symbol: AARS, gene_id: 16})"
"(:Signature {signature_id: LINCSCP_106256, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.078137, logFC: 0.910177, gene_symbol: ABCF1, gene_id: 23})"
"(:Signature {signature_id: LINCSCP_106256, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.00673, logFC: -4.89028, gene_symbol: ABL1, gene_id: 25})"
"(:Signature {signature_id: LINCSCP_106256, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.007814, logFC: 4.15218, gene_symbol: ACAA1, gene_id: 30})"
"(:Signature {signature_id: LINCSCP_106256, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 10uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.01497, logFC: -3.43662, gene_symbol: ACAT2, gene_id: 39})"
"(:Signature {signature_id: LINCSCP_106257, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 3.33uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",null,null
"(:Signature {signature_id: LINCSCP_106258, stitch_id: CID6445533, lincspertid: LSM-43097, cell_line: HELA, gene_targets: [HDAC1], concentration: 1.11uM, tissue: large intestine, perturbagen_id: BRD-K56957086, time: 24h, pubchem_id: 6445533})",null,null
"(:DifferentialExpression {p_value: 0.080848, logFC: 0.878283, gene_symbol: AARS, gene_id: 16})",null,null
"(:DifferentialExpression {p_value: 0.078137, logFC: 0.910177, gene_symbol: ABCF1, gene_id: 23})",null,null
"(:DifferentialExpression {p_value: 0.00673, logFC: -4.89028, gene_symbol: ABL1, gene_id: 25})",null,null
"(:DifferentialExpression {p_value: 0.007814, logFC: 4.15218, gene_symbol: ACAA1, gene_id: 30})",null,null
"(:DifferentialExpression {p_value: 0.01497, logFC: -3.43662, gene_symbol: ACAT2, gene_id: 39})",null,null
(:TranscriptomicData {name: Pracinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_100628, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HCC515, concentration: 10uM, tissue: lung, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})"
(:TranscriptomicData {name: Pracinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112461, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 10uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})"
(:TranscriptomicData {name: Pracinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112462, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 3.33uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})"
(:TranscriptomicData {name: Pracinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112463, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 1.11uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})"
(:TranscriptomicData {name: Pracinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112464, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 0.37uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})"
"(:Signature {signature_id: LINCSCP_100628, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HCC515, concentration: 10uM, tissue: lung, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.045269, logFC: -1.3134, gene_symbol: AARS, gene_id: 16})"
"(:Signature {signature_id: LINCSCP_100628, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HCC515, concentration: 10uM, tissue: lung, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.658554, logFC: -0.22085, gene_symbol: ABCF1, gene_id: 23})"
"(:Signature {signature_id: LINCSCP_100628, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HCC515, concentration: 10uM, tissue: lung, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.60497, logFC: -0.268, gene_symbol: ABL1, gene_id: 25})"
"(:Signature {signature_id: LINCSCP_100628, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HCC515, concentration: 10uM, tissue: lung, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.72804, logFC: 0.14565, gene_symbol: ACAA1, gene_id: 30})"
"(:Signature {signature_id: LINCSCP_100628, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HCC515, concentration: 10uM, tissue: lung, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",[:HAS_DIFFERENTIAL_EXPRESSION],"(:DifferentialExpression {p_value: 0.682304, logFC: 0.17285, gene_symbol: ACAT2, gene_id: 39})"
"(:Signature {signature_id: LINCSCP_112461, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 10uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",null,null
"(:Signature {signature_id: LINCSCP_112462, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 3.33uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",null,null
"(:Signature {signature_id: LINCSCP_112463, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 1.11uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",null,null
"(:Signature {signature_id: LINCSCP_112464, stitch_id: CID49855250, lincspertid: LSM-43290, cell_line: HEPG2, concentration: 0.37uM, tissue: liver, perturbagen_id: BRD-K86797399, time: 24h, pubchem_id: 49855250})",null,null
"(:DifferentialExpression {p_value: 0.045269, logFC: -1.3134, gene_symbol: AARS, gene_id: 16})",null,null
"(:DifferentialExpression {p_value: 0.658554, logFC: -0.22085, gene_symbol: ABCF1, gene_id: 23})",null,null
"(:DifferentialExpression {p_value: 0.60497, logFC: -0.268, gene_symbol: ABL1, gene_id: 25})",null,null
"(:DifferentialExpression {p_value: 0.72804, logFC: 0.14565, gene_symbol: ACAA1, gene_id: 30})",null,null
"(:DifferentialExpression {p_value: 0.682304, logFC: 0.17285, gene_symbol: ACAT2, gene_id: 39})",null,null
