node_id,node_type,AUC,AUC_SD,Cmax,Cmax_SD,Tmax,accumulation_flag,cycle,cycle_count,day,dose_mg_per_kg,dose_mg_per_m2,dosing_schedule,drug_name,duration_days,early_decedent_flag,early_termination_flag,exposure_ratio_day151_day1,formulation,glp_status,group_id,incidence_count,lesion_type,mechanism,mortality_count,mortality_percent,n_recovery,n_terminal,n_tk,organ,parameter,percent_change,recovery_flag,recovery_presence,route,severity_grade,sex,sex_exposure_ratio,species,statistical_significance,study_id,study_type,treatment_phase,vehicle
OT_DOG_F_0MG_Lungs_Reco_6eb0d6bbebbc,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,1,congestion/hemorrhage,,,,,,,Lungs,,,,Yes,,0,F,,Dog,,,,,
OT_DOG_F_50MG_Lungs_Reco_2646292ed1aa,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,congestion/hemorrhage,,,,,,,Lungs,,,,Yes,,2,F,,Dog,,,,,
OT_DOG_M_50MG_Kidney_Reco_3bc9f61a3ae7,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,foal Nephropathy -inflammatory cell foci,,,,,,,Kidney,,,,Yes,,1,M,,Dog,,,,,
OT_DOG_F_0MG_ovary_Reco_3bd4d45de15d,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,2,mature -pubescent -immature,,,,,,,ovary,,,,Yes,,0,F,,Dog,,,,,
OT_DOG_F_50MG_ovary_Reco_5d3c575d2b29,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,2,mature -pubescent -immature,,,,,,,ovary,,,,Yes,,0,F,,Dog,,,,,
OT_RAT_M_100MG_Thymus_atrophy_severity,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,1,Thymus Atrophy,,,,,,,Thymus,,,,Not assessed,,3,M,,Rat,,,,,
OT_RAT_F_100MG_Thymus_atrophy_severity,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,1,Thymus Atrophy,,,,,,,Thymus,,,,Not assessed,,1,F,,Rat,,,,,
OT_RAT_M_100MG_Cardiomyopathy_severity,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,1,Cardiomyopathy,,,,,,,Cardiomyopathy,,,,Not assessed,,1,M,,Rat,,,,,
OT_DOG_M_50MG_Testicular_tubular_atrophy_severity,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,Testicular Tubular Atrophy,,,,,,,Testicular,,,,Not assessed,,1,M,,Dog,,,,,
OT_DOG_F_50MG_Lymph_node_atrophy_severity,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,Lymph Node Atrophy,,,,,,,Lymph,,,,Not assessed,,3,F,,Dog,,,,,
OT_DOG_F_50MG_Thymus_atrophy_severity,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,Thymus Atrophy,,,,,,,Thymus,,,,Not assessed,,1,F,,Dog,,,,,
MORT_RAT_M_0MG,Mortality,,,,,,,,,,0,,,,,,Yes,,,,,,,,1,10,,,,,,,,,,,M,,Rat,,,,,
MORT_RAT_M_100MG,Mortality,,,,,,,,,,100,,,,,,Yes,,,,,,,,4,40,,,,,,,,,,,M,,Rat,,,,,
MORT_RAT_F_0MG,Mortality,,,,,,,,,,0,,,,,,Yes,,,,,,,,1,10,,,,,,,,,,,F,,Rat,,,,,
MORT_RAT_F_100MG,Mortality,,,,,,,,,,100,,,,,,Yes,,,,,,,,2,20,,,,,,,,,,,F,,Rat,,,,,
